file,t_score,r_score,group
S001R01.edf,0.19375,1.1643500786078342,Resting State
S002R01.edf,0.15625,0.9557861847544002,Resting State
S003R01.edf,0.1625,0.8199191786344897,Resting State
S004R01.edf,0.16875,0.5626311377757254,Resting State
S005R01.edf,0.1625,0.11115075318435572,Resting State
S006R01.edf,0.15625,0.6584820865042531,Resting State
S007R01.edf,0.125,0.8830718743926871,Resting State
S008R01.edf,0.1875,0.6350288714034775,Resting State
S009R01.edf,0.18125,1.0288522155555215,Resting State
S010R01.edf,0.1875,0.41237356004057474,Resting State
S001R03.edf,0.24375,1.1571044240529615,Active Task
S001R07.edf,0.21875,1.1685853426204638,Active Task
S001R11.edf,0.2375,1.0595708900628147,Active Task
S002R03.edf,0.1625,0.6621487572312624,Active Task
S002R07.edf,0.16875,0.83432983685952,Active Task
S002R11.edf,0.1375,0.7121276132710482,Active Task
S003R03.edf,0.1875,0.5103146416580456,Active Task
S003R07.edf,0.14375,0.880659364006321,Active Task
S003R11.edf,0.1625,0.9911013353763797,Active Task
S004R03.edf,0.1625,0.6472505077517711,Active Task
S004R07.edf,0.1625,0.7509312978756995,Active Task
S004R11.edf,0.15625,0.635603536577757,Active Task
S005R03.edf,0.175,0.1181744195469368,Active Task
S005R07.edf,0.175,0.12807119246839946,Active Task
S005R11.edf,0.18125,0.14925015045460022,Active Task
S006R03.edf,0.15,0.5781005043130882,Active Task
S006R07.edf,0.0125,0.5335432697912341,Active Task
S006R11.edf,0.0125,0.4188642342617379,Active Task
S007R03.edf,0.13125,0.9300944317876343,Active Task
S007R07.edf,0.1375,0.8772312754440654,Active Task
S007R11.edf,0.125,1.0273659565750826,Active Task
S008R03.edf,0.175,0.5844193037878052,Active Task
S008R07.edf,0.175,0.6389230056195507,Active Task
S008R11.edf,0.19375,0.7901955537288088,Active Task
S009R03.edf,0.1625,0.7549723315267256,Active Task
S009R07.edf,0.175,1.0018858296762976,Active Task
S009R11.edf,0.18125,0.9255927039816507,Active Task
S010R03.edf,0.21875,0.5560211538082733,Active Task
S010R07.edf,0.36875,0.7878398291353106,Active Task
S010R11.edf,0.31875,0.8156710965546513,Active Task
S001R02.edf,0.1375,1.205051061750348,Meditative Proxy
S002R02.edf,0.0625,0.9424614542815528,Meditative Proxy
S003R02.edf,0.2125,0.48664683195756986,Meditative Proxy
S004R02.edf,0.21875,0.5962160308872039,Meditative Proxy
S005R02.edf,0.16875,0.08550222621017714,Meditative Proxy
S006R02.edf,0.18125,0.43825944967853314,Meditative Proxy
S007R02.edf,0.0375,0.9552891029113068,Meditative Proxy
S008R02.edf,0.23125,0.8906662899052216,Meditative Proxy
S009R02.edf,0.01875,0.5657991014411623,Meditative Proxy
S010R02.edf,0.3625,0.47571645327869816,Meditative Proxy
